Subject;SRT_RT_S1;CRT2_RT_S1;CRT4_RT_S1;S1_RT_S1;S3_RT_S1;S5_RT_S1;PI_RT_S1;NI_RT_S1;SRT_RT_S2;CRT2_RT_S2;CRT4_RT_S2;S1_RT_S2;S3_RT_S2;S5_RT_S2;PI_RT_S2;NI_RT_S2;PC;PS;M;C;APMeven;APModd
12;.104780961794037;.360661281441596;.911176584132918;-.151705555934346;.415639385804697;1.0812585305766;.530824821951017;1.06875326229876;1.01069613655907;.650538266976396;1.01033047979651;.658918296088227;1.58567323638607;1.93909207933825;1.41593855509353;1.37702680144769;-.0698136440115296;.247578759517191;.460317021016863;.813970803062887;-1.20254235820924;.51088874633247
13;-.667992908043294;.203811900988259;.643333163067704;.771515103892503;1.95579421159185;2.3998254444554;.727493958207955;.101958900672892;-.173860505152746;.588780875871994;1.02843683359656;1.19481033822184;1.77796200591049;1.43214747418259;1.36600874648765;1.08327012554324;.949211078218144;.949604207304716;.890961262783918;-.0771344392032955;.789835513380032;1.36236999021992
14;-2.11094246970326;-2.07889507133428;-1.66563786462349;-1.59819540399388;-1.62624623917767;-.895360483229565;-2.68535149233993;-1.6529244729385; ; ; ; ; ; ; ; ;.701032114851352;1.02775174515755;1.23518922592802;.390606709895738;1.07446092360707;-.624419578850798
15;.136121129569703;-.575341242193042;-.599535971671679;.58019107870673;-.0338422364874576;-.0156342032802983;-.0540298051965936;-.227942243385606;-.091315451087797;-1.05594538729318;-1.28284921484379;.153242183953544;-.767986305798178;-.77363782785019;-.664880510503849;-.610419526203938;.298669240760887;.166857789809374;-.400774333811837;.372589211145659;.220584692925954;.227061665036653
17;-.672484677715639;.017143909147602;.180817093795292;-.0194094630598694;.285319087319689;.399179319901143;.499261223982307;.283312829356509;.251816244878175;.00370317077946246;.154750690707679;.79962266537452;.307170878787525;.667764344857963;.475898595359704;.832316841786181;1.01377710943786;.851548167516153;.159726828444569;.730529178666786; ; 
18;.25499411610828;-.238454084812707;-.137525041397278;.323524749103284;.886052822775916;.175813197332359;1.34841607786114;.863143450287238;.84875947839058;.415697169143705;.562834861515854;.386866241226297;-.446471090338863;-.437988448734623;1.39152675412496;1.41576518552699;.795688898035092;.184335218026945;.445822140826453;.270800587345464;1.35908633383411;.794715827628287
19;.333320185078325;-.243383585882811;.258069788815341;.466416072967871;.829464465218627;-.0609109990838807;.64803978920016;.0416094851943061;.166738435086714;-.193393127060231;-.1688291729006;.521815540641547;.93407417327164;-.216392611238339;1.42093822228843;.574023093574432;-1.07050800362521;-.646804148408028;-.615530292688249;-.496520622645039;-.348666127528123;-.0567654162591637
20;-.0419995350444224;.483686116083664;.158620069291759;1.22677687046216;1.19135422857054;.61938927868189;.718512194032889;1.17358764770253; ; ; ; ; ; ; ; ;-.123102562319217;.2634219724148;.0416912466546685;-.20404166117188;.220584692925954;.227061665036653
21;-2.34967035850574;-2.58137945226597;-2.09186429028024;-1.08320996344446;-.979618155357357;-1.19484416465908;-1.31751316706938;-.687985461632022;-2.20094078803108;-2.2943399285775;-1.41067049529227;-1.23492068330974;-.769942821586105;-.637554157684913;-1.19591756247012;-1.13571618926141;.0401203193463677;-.925643787491677;.30721814415975;-.63070746810985;1.35908633383411;1.64619707151574
22;-.359547039742673;-1.03321355743542;-.701784042931566;-.755757141412545;-.132197433279774;.0969662182432263;.200900551773247;1.25268146748846;-.358539277866339;-.0430934825639725;-.367316043336404;-.75793097219602;-.310971785081579;-.151728635208764;-.0110565086021467;.492282716366231;1.31044079641189;.867694152211795;.9190930432348;.566482942756332;1.07446092360707;1.64619707151574
23;-1.04411648713183;.329000010252291;-.227835596690687;-1.92265392576901;-2.00470118874957;-2.03861696844643;-1.71798768210249;-1.60454884998773;-.902618849366551;.324420491073258;.396284686429091;-.876676801210414;-1.00549442039933;-1.20954821393157;-.313338200125385;-.189927381481125;-.0599300465735718;-.512634917366903;-.411411419844953;.131225574062042;-.0640407173010846;-.908246660146614
24;-1.09241198610149;-.466706018704684;-.201148986261393;.204938928518199;1.23337182723109;1.12090964702802;-.360416305033001;-.975714230922037;-.81299736396251;-.637532571045714;-.521201102785314;.277178462401571;.204423133801631;.408174598718192;-.000982790460818705;-.402531804962518;.0778275768367545;-.502030498939732;-.162006677455311;-.535752283841743;.220584692925954;-.0567654162591637
25;.76234907199777;.450861979391214;1.06237772137549;-.460989602681918;-.309336873335144;-.16972291907097;.696631869239263;1.14603867386898;.617339105533947;.122752289923228;.585150692143491;-.23154736936277;.701807282522215;.448014627025934;1.25171714747599;1.5957763226596;-.106540168950642;.49189755580116;.507482855063266;.874184862883441;-1.20254235820924;-2.04355498532988
27;-1.73539266817321;-.951462209681458;-.541424331694294;-.868785395595661;-.807302556350555;-.879968156212589;-.1998040587525;-1.10299113521917;-1.83204113071139;-1.56272061834987;-1.00723385757166;-1.07077536413812;-.550507060434184;-.888065703643605;-1.24408308778818;-.971375406741232;-.637522515291096;-.703172951251796;-.665939397322732;-.806215209808878;-2.3410439991174;-2.3273820666257
28;1.02528152918794;.921114222678177;.671020804268389;1.50486736509676;.524814590478122;1.70991636907945;1.10528365679768;.904382506616775;1.21794475716881;.709563163750251;.904856416882195;.91243473392286;1.07091897032354;1.52875631945576;1.03878657542944;1.43923816813033;.0491824634427975;.235299501832961;.300047783474752;.45074714431838;-.0640407173010846;-.340592497554981
29;1.5334666723652;1.95266482542668;2.72526579071352;1.12156800647173;1.01989458044398;.516790452699956;2.65437847591342; ;1.08328939314008;2.06057141470997;2.52173289657856;1.70915496315373;1.72911652718776;1.40897856959536;2.32211301419112;2.31369208575327;.354584720114003;-.470503251588048;.516670071586739;-.614373065750769;1.35908633383411;1.36236999021992
30;1.18764945167357;.794314290032142;1.45679607511309;2.48170321859858;1.83313867999356;2.39468556863258;2.12360000986604;2.43502913869233;1.47484756116002;1.41526309750077;1.67425296917986;2.21175803373949;2.62850673183639;3.09521553008467;2.20654816720396;2.30616060522538;.852113464556965;.252552626690105;.458886190435886;-.0229219358145536;1.35908633383411;.227061665036653
31;-1.58486413126842;-.764942667736977;-.805603826245638;.226494091025217;.0191606855338106;.365356976620445;.242304295594973;.353880357488315;-1.16146896061743;-.496806389126102;-.537704669882658;-.493253090838433;-.262303080260568;-.402348050816982;-.416986726429596;-.0834932846685397;-.963538738334614;-.590460060881755;-.630016730168463;-1.1665456610771;-.348666127528123;-.908246660146614
