Subject;SRTCRT_P1_S1;SRTCRT_N1_S1;SRTCRT_P2_S1;SRTCRT_N2_S1;SRTCRT_P3_S1;S_P1_S1;S_N1_S1;S_P2_S1;S_N2_S1;S_P3_S1;P_P1_S1;P_N1_S1;P_P2_S1;P_N2_S1;P_P3_S1;SRTCRT_P1_S2;SRTCRT_N1_S2;SRTCRT_P2_S2;SRTCRT_N2_S2;SRTCRT_P3_S2;S_P1_S2;S_N1_S2;S_P2_S2;S_N2_S2;S_P3_S2;P_P1_S2;P_N1_S2;P_P2_S2;P_N2_S2;P_P3_S2;PC;PS;M;C;APMeven;APModd
13;1.22650310055769;1.47177351634131;-.361155332727067;-1.17246366644808;-1.68585847354247;1.1801785720348;1.08227157861031;-1.43060896809698;-1.50867364275648;.00427700691572569;.424456189234478;1.21859254719874;.351440630631507;-.268414894450046;-.779277677832577;1.01710530241223;1.41425597919158;.895047442028342;-.395324029118233;-1.54770587229041;-.851286664049495;-.41627574872542;.141357073568088;-.978682368853317;-.752506555951425;.893245169604007;1.19637051272707;.369697050109294;-.213289032223387;-1.39487415434471;.949211078218144;.949604207304716;.890961262783918;-.0771344392032955;.789835513380032;1.36236999021992
14;-.368662022795934;2.24620245551238;.650187417965296; ;-.959136520645111;-1.33711770240461;-.820804615067332;-2.38912668285243; ;-1.5962899325925;.504826591929764;-1.3611543896413;-2.48872996262291; ;-1.65331982792183; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;.701032114851352;1.02775174515755;1.23518922592802;.390606709895738;1.07446092360707;-.624419578850798
15;-1.59679800272306;-.313715426747533;-.629470756380143;-.739353908081868;-1.21700560070546;.98838457017275;-1.02245507267556;-.95135011071926;-1.22332947857966;-1.35899657818866;-1.86610028758117;.49778090308167;-.305157947378922;-1.34207447225023;-1.04867423094228;-.666759273133255;-.529389657338239;-.52638184703011;-.924298530714162;-.294957873843242;-.59313475148575;-1.07198538725547;-1.17107842949277;-1.08536907932984;-1.54545664801012;-1.86385056616586;-.611332185074827;-.401960871743706;.0666846377595808;-.562520856067881;.298669240760887;.166857789809374;-.400774333811837;.372589211145659;.220584692925954;.227061665036653
17;.407745780606273;.600540959773863;.691466713911923;-.426552415928491;-.123015564085781;.652745066914161;.994049503406712;.281029808252026;.171686435173666;-.642463704106493;-1.33029760294593;-.602405290570702;.336170896259171;-.241233639315864;-.414095683617204;-1.02125707851125;-.215898425639881;-1.00019161004959;-.586655231823143;-.715183468259063;-.0940410538625086;1.26156950280735;.389655682255277;-.300459709395429;-.972313964889974;1.77719952763709;.699252270831547;.488413653471294;-.0341058834342878;-1.06193283503398;1.01377710943786;.851548167516153;.159726828444569;.730529178666786; ; 
18;.817124440581983;-.83000138619491;-.350835508740411;-.342336629579505;-.3027424986733;.676719317146918;.77979589219797;-.467200856837683;-.177067543264666;-1.47531684995525;-.673939314267763;-2.08196603375837;-.228809275517244;-1.64106827872623;-1.37793668474302;.609432826227535;.0766933906119212;-.348703185897804;-.51912657204494;-.334601797844735;-.739420835271872;1.28085508041118;.176828303380544;-1.25301962436437;-1.23320687082638;.57754718459219;.292519163826121;-.718538480709039;-.874026893383192;-1.05527400864776;.795688898035092;.184335218026945;.445822140826453;.270800587345464;1.35908633383411;.794715827628287
19;.915939979196809;-.657906066379117;1.12489932135151;-.414521589307208;.150481945069141;.652745066914161;.225257133775346;1.17108197195351;-1.00139512866436;.958103235401733;-.794494918310692;.118406353546369;.763723458684567;.0577601671601356;1.12445796414265;-1.18078109093135;-.29949608742611;2.52376850240782;1.43920456152297;1.16393852941168;-.834076536545245;-.994843076840169;1.6784436987745;-.384284981912696;1.20727165084648;.261849199580373;-1.10845042697035;1.27985767588463;-1.01961320177434;.636067893450754;-1.07050800362521;-.646804148408028;-.615530292688249;-.496520622645039;-.348666127528123;-.0567654162591637
20;1.22650310055769;.288618192607739;1.80600770447085; ;.0488971559544563;.508899565517623;.502526512986659;-.413406495295286; ;-.0469039126615717;1.22816021618734;.478812175604905;-.51893422859162; ;-.581720205552129; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;-.123102562319217;.2634219724148;.0416912466546685;-.20404166117188;.220584692925954;.227061665036653
21;-1.38505041997701;-1.40006713308472;-1.52729544321928;-.149843403638966;.212995661447409;-.533980319607277;-2.44661142953366;-1.1078427988426;-1.23125570536235;.0414994938810335; ; ; ; ; ;-2.56332253190554;-1.38626569064709;-.417800443004811;.617605867554824;.807143213398251; ; ; ; ; ;-1.63233871049053;-.611332185074827;-1.21319099471737;.33545936094323;-.888803348992398;.0401203193463677;-.925643787491677;.30721814415975;-.63070746810985;1.35908633383411;1.64619707151574
22;.817124440581983;1.50404138880677;-1.51697561923263;.0306189956802896;-1.36547567710385;-1.46897607868477;-.946836151072474;-3.32808281159246;-.177067543264666;-1.15892571075014;-1.77233481777;-1.81640384908366;-2.97736146253765;.547022759575408;-1.56352097688526;-.436335699637557;.0139951442722494;.69762670743689;-.0464259535975132;-1.36534382188354;.267371623726735;.798715640315554;-1.78591307957533;-.727206551301516;-1.56189084680926;-.495825964447987;-.566139617629779;1.41836037980696;.458647775735736;-1.24837997384799;1.31044079641189;.867694152211795;.9190930432348;.566482942756332;1.07446092360707;1.64619707151574
23;.633609868868733;.181058617722869;-.134119205020619;-.594983988626463;-1.17793452796905;-.881606947982244;.691573816994371;.0854139480978541;-1.1916245714489;.334626578732831;.45124632346624;.554687085511965;-.946486791017016;-.648952466328591;-.0668734596091443;-.702209053671055;.411084037756836;-.210508671683787;.156160025737098;-.294957873843242;1.21392863646047;-.10770650706422;-1.31296334874259;-.170911560959653;-.0704873057869537;-1.12722193447162;-.430561915294637;.0135472400232943;.391454094939824;-.00983826601206629;-.0599300465735718;-.512634917366903;-.411411419844953;.131225574062042;-.0640407173010846;-.908246660146614
